n;0.2;0.1;0.05;0.02;0.01
1;0.9;0.95;0.975;0.99;0.995
2;0.684;0.776;0.842;0.9;0.929
3;0.565;0.636;0.708;0.785;0.829
4;0.493;0.565;0.624;0.689;0.734
5;0.447;0.509;0.563;0.627;0.669
6;0.41;0.468;0.519;0.577;0.617
7;0.381;0.436;0.483;0.538;0.576
8;0.358;0.41;0.454;0.407;0.542
9;0.339;0.387;0.43;0.48;0.513
10;0.323;0.369;0.409;0.457;0.489
11;0.308;0.352;0.391;0.437;0.468
12;0.296;0.338;0.375;0.419;0.449
13;0.285;0.325;0.361;0.404;0.432
14;0.275;0.314;0.349;0.39;0.418
15;0.266;0.304;0.338;0.377;0.404
16;0.258;0.295;0.327;0.366;0.392
17;0.25;0.286;0.318;0.355;0.381
18;0.244;0.279;0.309;0.346;0.371
19;0.237;0.271;0.301;0.337;0.361
20;0.232;0.265;0.294;0.329;0.352
21;0.226;0.259;0.287;0.321;0.344
22;0.221;0.253;0.281;0.314;0.337
23;0.216;0.247;0.275;0.307;0.33
24;0.212;0.242;0.269;0.301;0.323
25;0.208;0.238;0.264;0.295;0.317
26;0.204;0.233;0.259;0.29;0.311
27;0.2;0.229;0.254;0.284;0.305
28;0.197;0.225;0.25;0.279;0.3
29;0.193;0.221;0.246;0.275;0.295
30;0.19;0.218;0.242;0.27;0.29
31;0.187;0.214;0.238;0.266;0.285
32;0.184;0.211;0.234;0.262;0.181
33;0.182;0.208;0.231;0.258;0.277
34;0.179;0.205;0.227;0.254;0.273
35;0.177;0.202;0.224;0.251;0.269
36;0.174;0.199;0.221;0.247;0.265
37;0.172;0.196;0.218;0.244;0.262
38;0.17;0.194;0.215;0.241;0.258
39;0.168;0.191;0.213;0.238;0.255
40;0.165;0.189;0.21;0.235;0.252
